arm,oracle@64 (coverage ceiling),plain maj (deployed),"maj, drop-unparseable","maj, tiebreak-shortest",merged-correct ceiling*
pi0,0.8031140130587644,0.5259082538088062,0.5259082538088062,0.5288799598191863,0.527373179306881
grpo,0.8247112004018081,0.5402525651144435,0.5402525651144435,0.5409342039176294,0.5436966348568558
passk,0.8221998995479658,0.5336012054244099,0.5336012054244099,0.5379206428930186,0.5359116022099447
votek,0.8161727774987444,0.5305541603884146,0.5305541603884146,0.5359116022099447,0.5339025615268709
