arm,pass@1,pass@8,pass@32,pass@64,maj@8,maj@16,maj@32,gap_p64_m32
pi0,0.3174284279256655,0.6287432285577294,0.7591462143968971,0.8031140130587644,0.4583717618391793,0.4917037076997637,0.5119181156080388,0.2911958974507256
grpo,0.3317742340532396,0.6432881941054416,0.7760178888150745,0.8247112004018081,0.4764280089496707,0.5107069824855905,0.5306731672192733,0.29403803318253485
passk,0.3232750502260171,0.6398812770058975,0.7761145693551976,0.8221998995479658,0.467715996271173,0.502151812986348,0.5216319268731539,0.30056797267481195
votek,0.3242638749372175,0.6388969711380134,0.7686312754663371,0.8161727774987444,0.47060607405182336,0.5044276182056183,0.5227114016862904,0.293461375812454
